[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 3804 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 8804 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1284 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 3804 bytes, TTL: 102, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 836 bytes, TTL: 102, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 60 bytes, TTL: 102, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 157 bytes, TTL: 102, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 519 bytes, TTL: 102, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 60 bytes, TTL: 102, Flags: DF
[2024-10-27 21:25:23] Protocol: TCP, Source: 142.251.175.188, Destination: 172.18.220.6, Size: 66 bytes, TTL: 119, Flags: 
[2024-10-27 21:25:23] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:23] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:23] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:23] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:23] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:23] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:23] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:23] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:23] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:23] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 93 bytes, TTL: 107, Flags: DF
