[2024-10-27 20:15:45] Protocol: UDP, Source: 172.18.208.85, Destination: 255.255.255.255, Size: 275 bytes, TTL: 64, Flags: DF
[2024-10-27 20:15:45] Protocol: UDP, Source: 172.18.211.162, Destination: 172.18.215.255, Size: 110 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:45] Protocol: UDP, Source: 172.18.211.162, Destination: 172.18.215.255, Size: 110 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:45] Protocol: UDP, Source: 172.18.208.84, Destination: 255.255.255.255, Size: 275 bytes, TTL: 64, Flags: DF
[2024-10-27 20:15:45] Protocol: UDP, Source: 0.0.0.0, Destination: 255.255.255.255, Size: 342 bytes, TTL: 255, Flags: 
[2024-10-27 21:25:21] Protocol: UDP, Source: 172.18.212.251, Destination: 172.18.215.255, Size: 92 bytes, TTL: 128, Flags: 
[2024-10-27 21:25:21] Protocol: UDP, Source: 172.18.212.251, Destination: 172.18.215.255, Size: 92 bytes, TTL: 128, Flags: 
[2024-10-27 21:25:21] Protocol: UDP, Source: 172.18.219.226, Destination: 172.18.223.255, Size: 92 bytes, TTL: 128, Flags: 
[2024-10-27 21:25:21] Protocol: UDP, Source: 172.18.213.7, Destination: 172.18.215.255, Size: 92 bytes, TTL: 128, Flags: 
[2024-10-27 21:25:21] Protocol: UDP, Source: 172.18.213.7, Destination: 172.18.215.255, Size: 92 bytes, TTL: 128, Flags: 
[2024-10-27 21:25:21] Protocol: UDP, Source: 192.168.23.21, Destination: 172.18.220.6, Size: 212 bytes, TTL: 60, Flags: DF
[2024-10-27 21:25:21] Protocol: UDP, Source: 192.168.23.22, Destination: 172.18.220.6, Size: 212 bytes, TTL: 60, Flags: DF
[2024-10-27 21:25:21] Protocol: UDP, Source: 172.18.220.112, Destination: 172.18.223.255, Size: 92 bytes, TTL: 64, Flags: 
[2024-10-27 21:25:21] Protocol: UDP, Source: 0.0.0.0, Destination: 255.255.255.255, Size: 342 bytes, TTL: 255, Flags: 
[2024-10-27 21:25:21] Protocol: UDP, Source: 172.18.220.112, Destination: 172.18.223.255, Size: 92 bytes, TTL: 64, Flags: 
[2024-10-27 21:25:21] Protocol: UDP, Source: 172.18.220.112, Destination: 172.18.223.255, Size: 92 bytes, TTL: 64, Flags: 
[2024-10-27 21:25:21] Protocol: UDP, Source: 172.18.220.112, Destination: 172.18.223.255, Size: 92 bytes, TTL: 64, Flags: 
[2024-10-27 21:25:21] Protocol: UDP, Source: 172.18.222.35, Destination: 172.18.223.255, Size: 92 bytes, TTL: 64, Flags: 
[2024-10-27 21:25:21] Protocol: UDP, Source: 172.18.222.35, Destination: 172.18.223.255, Size: 92 bytes, TTL: 64, Flags: 
