[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 210 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
